tick_id,timestamp,second_bucket,records_in_tick
171,2025-04-22T15:47:19.907971-04:00,2025-04-22T15:47:19,400
172,2025-04-22T15:47:19.925923-04:00,2025-04-22T15:47:19,400
173,2025-04-22T15:47:20.094472-04:00,2025-04-22T15:47:20,400
174,2025-04-22T15:47:20.112424-04:00,2025-04-22T15:47:20,400
175,2025-04-22T15:47:20.298785-04:00,2025-04-22T15:47:20,400
176,2025-04-22T15:47:20.316737-04:00,2025-04-22T15:47:20,400
177,2025-04-22T15:47:20.602973-04:00,2025-04-22T15:47:20,400
178,2025-04-22T15:47:20.621923-04:00,2025-04-22T15:47:20,400
179,2025-04-22T15:47:20.806112-04:00,2025-04-22T15:47:20,400
180,2025-04-22T15:47:20.825062-04:00,2025-04-22T15:47:20,400
181,2025-04-22T15:47:21.009160-04:00,2025-04-22T15:47:21,400
182,2025-04-22T15:47:21.027113-04:00,2025-04-22T15:47:21,400
183,2025-04-22T15:47:21.313030-04:00,2025-04-22T15:47:21,400
184,2025-04-22T15:47:21.518639-04:00,2025-04-22T15:47:21,400
185,2025-04-22T15:47:21.537588-04:00,2025-04-22T15:47:21,400
186,2025-04-22T15:47:21.557534-04:00,2025-04-22T15:47:21,400
187,2025-04-22T15:47:21.726087-04:00,2025-04-22T15:47:21,400
188,2025-04-22T15:47:21.745037-04:00,2025-04-22T15:47:21,400
189,2025-04-22T15:47:22.031271-04:00,2025-04-22T15:47:22,400
190,2025-04-22T15:47:22.050221-04:00,2025-04-22T15:47:22,400
191,2025-04-22T15:47:22.233729-04:00,2025-04-22T15:47:22,400
192,2025-04-22T15:47:22.253678-04:00,2025-04-22T15:47:22,400
193,2025-04-22T15:47:22.271162-04:00,2025-04-22T15:47:22,400
194,2025-04-22T15:47:22.437717-04:00,2025-04-22T15:47:22,400
195,2025-04-22T15:47:22.540422-04:00,2025-04-22T15:47:22,400
196,2025-04-22T15:47:22.742515-04:00,2025-04-22T15:47:22,400
197,2025-04-22T15:47:22.763434-04:00,2025-04-22T15:47:22,400
198,2025-04-22T15:47:23.048699-04:00,2025-04-22T15:47:23,400
199,2025-04-22T15:47:23.067648-04:00,2025-04-22T15:47:23,400
200,2025-04-22T15:47:23.085600-04:00,2025-04-22T15:47:23,400
201,2025-04-22T15:47:23.267118-04:00,2025-04-22T15:47:23,400
202,2025-04-22T15:47:23.285070-04:00,2025-04-22T15:47:23,400
203,2025-04-22T15:47:23.469576-04:00,2025-04-22T15:47:23,400
204,2025-04-22T15:47:23.488525-04:00,2025-04-22T15:47:23,400
205,2025-04-22T15:47:23.774342-04:00,2025-04-22T15:47:23,400
206,2025-04-22T15:47:23.791297-04:00,2025-04-22T15:47:23,400
207,2025-04-22T15:47:23.975340-04:00,2025-04-22T15:47:23,400
208,2025-04-22T15:47:24.077699-04:00,2025-04-22T15:47:24,400
209,2025-04-22T15:47:24.282152-04:00,2025-04-22T15:47:24,400
210,2025-04-22T15:47:24.302100-04:00,2025-04-22T15:47:24,400
211,2025-04-22T15:47:24.320051-04:00,2025-04-22T15:47:24,400
212,2025-04-22T15:47:24.588569-04:00,2025-04-22T15:47:24,400
213,2025-04-22T15:47:24.607518-04:00,2025-04-22T15:47:24,400
214,2025-04-22T15:47:24.791028-04:00,2025-04-22T15:47:24,400
215,2025-04-22T15:47:24.810975-04:00,2025-04-22T15:47:24,400
216,2025-04-22T15:47:25.099710-04:00,2025-04-22T15:47:25,400
217,2025-04-22T15:47:25.118659-04:00,2025-04-22T15:47:25,400
218,2025-04-22T15:47:25.137609-04:00,2025-04-22T15:47:25,400
219,2025-04-22T15:47:25.320121-04:00,2025-04-22T15:47:25,400
220,2025-04-22T15:47:25.422846-04:00,2025-04-22T15:47:25,400
221,2025-04-22T15:47:25.625865-04:00,2025-04-22T15:47:25,400
222,2025-04-22T15:47:25.645811-04:00,2025-04-22T15:47:25,400
223,2025-04-22T15:47:25.834869-04:00,2025-04-22T15:47:25,400
224,2025-04-22T15:47:25.853819-04:00,2025-04-22T15:47:25,400
225,2025-04-22T15:47:25.871770-04:00,2025-04-22T15:47:25,400
226,2025-04-22T15:47:26.144042-04:00,2025-04-22T15:47:26,400
227,2025-04-22T15:47:26.357086-04:00,2025-04-22T15:47:26,400
228,2025-04-22T15:47:26.378030-04:00,2025-04-22T15:47:26,400
229,2025-04-22T15:47:26.397976-04:00,2025-04-22T15:47:26,400
230,2025-04-22T15:47:26.554558-04:00,2025-04-22T15:47:26,400
231,2025-04-22T15:47:26.858774-04:00,2025-04-22T15:47:26,400
232,2025-04-22T15:47:26.876726-04:00,2025-04-22T15:47:26,400
233,2025-04-22T15:47:27.062231-04:00,2025-04-22T15:47:27,400
234,2025-04-22T15:47:27.079212-04:00,2025-04-22T15:47:27,400
235,2025-04-22T15:47:27.365546-04:00,2025-04-22T15:47:27,400
236,2025-04-22T15:47:27.385493-04:00,2025-04-22T15:47:27,400
237,2025-04-22T15:47:27.583216-04:00,2025-04-22T15:47:27,400
238,2025-04-22T15:47:27.602647-04:00,2025-04-22T15:47:27,400
239,2025-04-22T15:47:27.787154-04:00,2025-04-22T15:47:27,400
240,2025-04-22T15:47:27.806610-04:00,2025-04-22T15:47:27,400
241,2025-04-22T15:47:28.091849-04:00,2025-04-22T15:47:28,400
242,2025-04-22T15:47:28.110797-04:00,2025-04-22T15:47:28,400
243,2025-04-22T15:47:28.295810-04:00,2025-04-22T15:47:28,400
244,2025-04-22T15:47:28.315757-04:00,2025-04-22T15:47:28,400
245,2025-04-22T15:47:28.598534-04:00,2025-04-22T15:47:28,400
246,2025-04-22T15:47:28.804253-04:00,2025-04-22T15:47:28,400
247,2025-04-22T15:47:28.827191-04:00,2025-04-22T15:47:28,400
248,2025-04-22T15:47:28.846141-04:00,2025-04-22T15:47:28,400
249,2025-04-22T15:47:29.125314-04:00,2025-04-22T15:47:29,400
250,2025-04-22T15:47:29.145288-04:00,2025-04-22T15:47:29,400
251,2025-04-22T15:47:29.328777-04:00,2025-04-22T15:47:29,400
252,2025-04-22T15:47:29.348724-04:00,2025-04-22T15:47:29,400
253,2025-04-22T15:47:29.832941-04:00,2025-04-22T15:47:29,400
254,2025-04-22T15:47:29.852888-04:00,2025-04-22T15:47:29,400
255,2025-04-22T15:47:29.870841-04:00,2025-04-22T15:47:29,400
256,2025-04-22T15:47:30.056369-04:00,2025-04-22T15:47:30,400
257,2025-04-22T15:47:30.074296-04:00,2025-04-22T15:47:30,400
258,2025-04-22T15:47:30.362125-04:00,2025-04-22T15:47:30,400
259,2025-04-22T15:47:30.381075-04:00,2025-04-22T15:47:30,400
260,2025-04-22T15:47:30.399027-04:00,2025-04-22T15:47:30,400
261,2025-04-22T15:47:30.564584-04:00,2025-04-22T15:47:30,400
262,2025-04-22T15:47:30.583533-04:00,2025-04-22T15:47:30,400
263,2025-04-22T15:47:30.869054-04:00,2025-04-22T15:47:30,400
264,2025-04-22T15:47:30.888004-04:00,2025-04-22T15:47:30,400
265,2025-04-22T15:47:31.071513-04:00,2025-04-22T15:47:31,400
266,2025-04-22T15:47:31.088467-04:00,2025-04-22T15:47:31,400
267,2025-04-22T15:47:31.374755-04:00,2025-04-22T15:47:31,400
268,2025-04-22T15:47:31.396697-04:00,2025-04-22T15:47:31,400
269,2025-04-22T15:47:31.577214-04:00,2025-04-22T15:47:31,400
270,2025-04-22T15:47:31.596163-04:00,2025-04-22T15:47:31,400
271,2025-04-22T15:47:31.879962-04:00,2025-04-22T15:47:31,400
272,2025-04-22T15:47:31.899908-04:00,2025-04-22T15:47:31,400
273,2025-04-22T15:47:32.088934-04:00,2025-04-22T15:47:32,400
274,2025-04-22T15:47:32.107884-04:00,2025-04-22T15:47:32,400
275,2025-04-22T15:47:32.292391-04:00,2025-04-22T15:47:32,400
276,2025-04-22T15:47:32.311340-04:00,2025-04-22T15:47:32,400
277,2025-04-22T15:47:32.597085-04:00,2025-04-22T15:47:32,400
278,2025-04-22T15:47:32.616034-04:00,2025-04-22T15:47:32,400
279,2025-04-22T15:47:32.797818-04:00,2025-04-22T15:47:32,400
280,2025-04-22T15:47:32.818763-04:00,2025-04-22T15:47:32,400
281,2025-04-22T15:47:33.001842-04:00,2025-04-22T15:47:33,400
282,2025-04-22T15:47:33.020791-04:00,2025-04-22T15:47:33,400
